enable,priority,code,name,loss_cut,ts_active,rate,percent
1,0,000660,SK하이닉스,0.8,1.07,0.8,100.0
1,1,000660,SK하이닉스,0.8,1.07,0.85,50.0
1,2,000660,SK하이닉스,0.8,1.07,0.9,20.0
1,0,005930,삼성전자,0.8,1.07,0.8,100.0
1,1,005930,삼성전자,0.8,1.07,0.85,50.0
1,2,005930,삼성전자,0.8,1.07,0.9,20.0
1,0,010950,S-Oil,0.8,1.07,0.8,100.0
1,1,010950,S-Oil,0.8,1.07,0.85,50.0
1,2,010950,S-Oil,0.8,1.07,0.9,20.0
1,0,079160,CJ CGV,0.8,1.07,0.8,100.0
1,1,079160,CJ CGV,0.8,1.07,0.85,50.0
1,2,079160,CJ CGV,0.8,1.07,0.9,20.0
1,0,465330,KBSTAR 2차전지TOP10,0.8,1.07,0.8,100.0
1,1,465330,KBSTAR 2차전지TOP10,0.8,1.07,0.85,50.0
1,2,465330,KBSTAR 2차전지TOP10,0.8,1.07,0.9,20.0
1,0,465350,KBSTAR 2차전지TOP10?,0.8,1.07,0.8,100.0
1,1,465350,KBSTAR 2차전지TOP10?,0.8,1.07,0.85,50.0
1,2,465350,KBSTAR 2차전지TOP10?,0.8,1.07,0.9,20.0
